序号,路径,类别,冲突类型,建议裁决,优先级,理由,负责人,备注
1,.gitignore,配置,modify/modify,合并(union),P1,忽略规则双方各有新增，两段合并即可,,
2,README.md,文档·品牌,modify/modify,取本地(ours),P1,保留慧惠品牌叙事；上游更新可另写入 HUIHUI.md,,
3,agent_loop.py,核心代码,modify/modify,逐块人工,P0,主循环；双方均改工具分发/回调，必须逐块核对,,
4,agentmain.py,核心代码,modify/modify,逐块人工,P0,入口/装配层,,
5,ga.py,核心代码,modify/modify,逐块人工,P0,模型与会话装配,,
6,TMWebDriver.py,核心·浏览器,modify/modify,逐块人工,P0,浏览器驱动，双边均改,,
7,simphtml.py,核心·HTML,modify/modify,逐块人工,P1,网页简化，核对上游优化,,
8,launch.pyw,启动,modify/modify,取本地(ours),P1,慧惠启动入口,,
9,mykey_template.py,配置模板,modify/modify,合并(union),P2,仅键/注释模板，合并,,
10,assets/sys_prompt.txt,提示词,modify/modify,逐块人工,P1,系统提示词；语气/规则差异需人工确认,,
11,assets/tools_schema.json,工具schema,modify/modify,逐块人工,P0,与 9 原子工具一致性直接相关,,
12,assets/global_mem_insight_template.txt,提示词,modify/modify,合并(union),P2,模板文本,,
13,assets/insight_fixed_structure.txt,提示词,modify/modify,合并(union),P2,模板文本,,
14,memory/adb_ui.py,记忆·代码,modify/modify,逐块人工,P1,ADB UI 自动化,,
15,memory/ljqCtrl.py,记忆·代码,modify/modify,逐块人工,P1,键鼠/控制,,
16,memory/autonomous_operation_sop.md,SOP,modify/modify,合并(union),P2,SOP 文本，追加合并,,
17,memory/ljqCtrl_sop.md,SOP,modify/modify,合并(union),P2,SOP 文本,,
18,memory/memory_management_sop.md,SOP·关键,modify/modify,逐块人工,P1,记忆管理规则，与 L0-L4 强相关,,
19,memory/plan_sop.md,SOP·关键,modify/modify,逐块人工,P1,任务规划 SOP,,
20,memory/scheduled_task_sop.md,SOP,modify/modify,合并(union),P2,SOP 文本,,
21,memory/tmwebdriver_sop.md,SOP,modify/modify,合并(union),P2,SOP 文本,,
22,memory/web_setup_sop.md,SOP,modify/modify,合并(union),P2,SOP 文本,,
23,CONTRIBUTING.md,上游文档,add/add,取上游(theirs),P3,英文贡献指南，通用,,
24,LICENSE,许可,add/add,取本地(ours),P3,同为 MIT，取本地即可,,
25,hub.pyw,入口/服务,add/add,逐块人工,P1,双方各造，核对职责边界,,
26,llmcore.py,核心·模型层,add/add,逐块人工,P0,⚠ 双方独立重造模型层，最高风险，务必逐块对照,,
27,pyproject.toml,构建配置,add/add,合并,P1,依赖需取并集,,
28,mykey_template_en.py,配置模板,add/add,合并(union),P3,英文键模板,,
29,assets/GenericAgent_Technical_Report.pdf,文档,add/add,取本地(ours),P3,技术报告（取更全者）,,
30,assets/code_run_header.py,代码片段,add/add,取本地(ours),P2,code_run 头,,
31,assets/global_mem_insight_template_en.txt,提示词,add/add,核对后整取,P3,en 模板,,
32,assets/insight_fixed_structure_en.txt,提示词,add/add,核对后整取,P3,en 模板,,
33,assets/sys_prompt_en.txt,提示词,add/add,核对后整取,P3,en 模板,,
34,assets/tools_schema_cn.json,工具schema,add/add,逐块人工,P1,中文 tools schema，与工具一致性,,
35,assets/images/*,图片资产,add/add,取本地(ours),P3,品牌图：bar/feishu_group/logo/workflow.jpg,,
36,assets/tmwd_cdp_bridge/*,浏览器桥,add/add,逐块人工,P1,CDP 桥（js/manifest/popup），功能关键,,
37,frontends/*.py,前端,add/add,取本地(ours),P1,多前端定制（chatapp_common/continue_cmd/dcapp/desktop_pet_v2/dingtalkapp/fsapp/qqapp/qtapp/stapp/stapp2/tgapp/wechatapp/wecomapp）,,
38,frontends/DESKTOP_PET_README.md,前端文档,add/add,取本地(ours),P3,桌面宠物说明,,
39,frontends/chat_bubble.png,前端资源,add/add,取本地(ours),P3,资源图,,
40,frontends/skins/*,前端皮肤,add/add,取本地(ours),P3,皮肤整套（boy/dinosaur/doux/glube/line/mort/tard/vita），整目录取本地,,
41,memory/L4_raw_sessions/compress_session.py,记忆·代码,add/add,逐块人工,P1,L4 会话压缩,,
42,memory/autonomous_operation_sop/*,SOP+代码,add/add,取本地(ours),P2,helper.py + task_planning.md,,
43,memory/github_contribution_sop.md,SOP,add/add,合并(union),P3,SOP 文本,,
44,memory/keychain.py,记忆·代码,add/add,逐块人工,P1,⚠ 双方独立重造，涉及凭据，务必核对,,
45,memory/memory_cleanup_sop.md,SOP,add/add,合并(union),P2,SOP 文本,,
46,memory/ocr_utils.py,记忆·代码,add/add,核对后整取,P2,OCR 工具,,
47,memory/procmem_scanner_sop.md,SOP,add/add,合并(union),P3,SOP 文本,,
48,memory/supervisor_sop.md,SOP,add/add,合并(union),P2,SOP 文本,,
49,memory/ui_detect.py,记忆·代码,add/add,逐块人工,P2,UI 检测,,
50,memory/vision_api.template.py,记忆·模板,add/add,合并(union),P2,视觉 API 模板,,
51,memory/vision_sop.md,SOP,add/add,合并(union),P2,SOP 文本,,
52,plugins/langfuse_tracing.py,插件,add/add,取上游(theirs),P2,第三方追踪插件，通用,,
53,reflect/autonomous.py,自省·代码,add/add,逐块人工,P1,自主逻辑，可能有本地定制,,
54,reflect/scheduler.py,自省·代码,add/add,逐块人工,P1,调度器,,
55,WELCOME_NEW_USER.md,已删除,delete/delete,自动（双方已删）,—,双方均删除 → 一般不产生冲突，确认即可,,
56,sidercall.py,已删除,delete/delete,自动（双方已删）,—,双方均删除 → 一般不产生冲突，确认即可,,
57,stapp.py,已删除,delete/delete,自动（双方已删）,—,双方均删除 → 一般不产生冲突，确认即可,,
58,tgapp.py,已删除,delete/delete,自动（双方已删）,—,双方均删除 → 一般不产生冲突，确认即可,,
59,assets/cookie_grabber/background.js,已删除,delete/delete,自动（双方已删）,—,双方均删除 → 一般不产生冲突，确认即可,,
60,assets/cookie_grabber/content.js,已删除,delete/delete,自动（双方已删）,—,双方均删除 → 一般不产生冲突，确认即可,,
61,assets/cookie_grabber/manifest.json,已删除,delete/delete,自动（双方已删）,—,双方均删除 → 一般不产生冲突，确认即可,,
